,VGCPastes Repository (Champions M-B),,,,,,,,,,,,,,,,,,,Total Team Count:,,129,,,,,Total Creator Count: ,116,,,Teams with Replicas: ,124,,,,,,,,,,,,
,Click here to visit our Twitter for latest updates!,,,,,,,,Click here to see Champions Featured Teams (Teams with results only),,,,,,,,,,,,,,,,,,DM us in Discord if Replica Code is not available anymore! ⬇︎,,,Source /,,Note: Most of the teams we find are from Twitter,,,,,,,,,,,,
Team ID,Team Description,,Full Name,,1,,,2,,,3,,,4,,,5,,,6,,,,Pokepaste,EVs,Extracted paste?,Replica Status,"Replica Code
(Click text for image)",Date Shared,Tournament / Event,Rank,Link to Source,Report / Video,Other Links,Owner,,Pokemon Text for Copypasta,,,,,,,Team ID
MB120,umikonou's Charizard-Y Pyroar Team,,umikonou,,,,Pyroarite,,,Sitrus Berry,,,Focus Sash,,,Charizardite Y,,,Heat Rock,,,Choice Scarf,,https://pokepast.es/acc7a36308616721,Yes,Extracted,✔,B1NRCK7S6U,20 Jun 2026,-,,https://x.com/umikonou/status/2068210764301946974?s=46,-,-,umikonou,,Pyroar-Mega,Blaziken,Ceruledge,Charizard,Torkoal,Meowscarada,,MB120
MB119,yukiya's Scovillain Grimmsnarl Team,,yukiya,,,,Scovillainite,,,Life Orb,,,Focus Sash,,,Roseli Berry,,,Sitrus Berry,,,Leftovers,,https://pokepast.es/3a8307130ab57279,Yes,Extracted,✔,HJQ0X8LUKD,20 Jun 2026,-,,https://x.com/pmyukiya/status/2068289914966581730?s=46,-,-,pmyukiya,,Scovillain-Mega,Basculegion,Pelipper,Grimmsnarl,Sylveon,Archaludon,,MB119
MB118,Hamstermania's Staraptor Maushold Team,,David Koutesh,,,,Staraptite,,,Choice Scarf,,,Focus Sash,,,Wide Lens,,,Occa Berry,,,Life Orb,,https://pokepast.es/931fd9ab58690716,Yes,Owner's,X,None,20 Jun 2026,-,,https://x.com/hamstermaniavgc/status/2068287480831398389?s=46,-,-,hamstermaniavgc,,Staraptor-Mega,Basculegion,Annihilape,Maushold,Whimsicott,Gholdengo,,MB118
MB117,robstar029's Blaziken Aerodactyl Team,,robstar029,,,,Aerodactylite,,,Blazikenite,,,Leftovers,,,Kasib Berry,,,Life Orb,,,Light Ball,,https://pokepast.es/8e43844c469fd740,Yes,Owner's,✔,W9TCAQB84S,20 Jun 2026,Team Report,,https://x.com/robstar029/status/2068074931523350532?s=46,https://teamsheet.gg/t/mega-blaziken-v2-13-win-streak-in-master-ball-xbv71x,-,robstar029,,Aerodactyl-Mega,Blaziken-Mega,Milotic,Sinistcha,Gholdengo,Grimmsnarl,,MB117
MB116,ShiningStAr359's Mawile Basculegion Team,,ShiningStAr359,,,,Mawilite,,,Shuca Berry,,,Life Orb,,,Choice Scarf,,,Sitrus Berry,,,Leftovers,,https://pokepast.es/8eb46e18d0531fd9,Yes,Extracted,✔,FHJJ4LBT8J,20 Jun 2026,-,,https://x.com/ShiningStAr359/status/2068255293482643481?s=20,-,-,ShiningStAr359,,Mawile-Mega,Incineroar,Basculegion-F,Pelipper,Sinistcha,Archaludon,,MB116
MB115,YesMess72837's Staraptor Glimmora Team,,YesMess72837,,,,Staraptite,,,Sitrus Berry,,,Focus Sash,,,Fairy Feather,,,Kasib Berry,,,Life Orb,,https://pokepast.es/6fd669b85d485182,Yes,Extracted,✔,3SYCJQX90F,20 Jun 2026,-,,https://x.com/YesMess72837/status/2068132699693285604?s=20,-,-,YesMess72837,,Staraptor-Mega,Incineroar,Glimmora,Whimsicott,Sinistcha,Garchomp,,MB115
MB114,argent__mj's Gengar Dragonite Team,,argent__mj,,,,Gengarite,,,Leftovers,,,Chople Berry,,,Never-Melt Ice,,,Dragon Fang,,,Sitrus Berry,,https://pokepast.es/85224fb4b4ad5412,Yes,Extracted,✔,H79JK2XXJQ,20 Jun 2026,-,,https://x.com/argent__mj/status/2068241321060712729?s=20,-,-,argent__mj,,Gengar-Mega,Incineroar,Kingambit,Ninetales-Alola,Dragonite,Garchomp,,MB114
MB113,sktypoke's Swampert Venusaur Team,,sktypoke,,,,Swampertite,,,Venusaurite,,,Choice Scarf,,,Sitrus Berry,,,Roseli Berry,,,Leftovers,,https://pokepast.es/70e91d0508ab7df0,Yes,Extracted,✔,B7S0MJJ8XT,20 Jun 2026,-,,https://x.com/sktypoke/status/2068212176381464924?s=20,-,-,sktypoke,,Swampert-Mega,Venusaur-Mega,Basculegion,Pelipper,Sableye,Archaludon,,MB113
MB112,Sarapoke0914's Pyroar Vileplume Team,,Sarapoke0914,,,,Pyroarite,,,Charcoal,,,Focus Sash,,,Iron Ball,,,Silk Scarf,,,Sitrus Berry,,https://pokepast.es/c9eb31413e55910b,Yes,Extracted,✔,F97H1C82K0,20 Jun 2026,-,,https://x.com/Sarapoke0914/status/2068263311972639098?s=20,-,-,Sarapoke0914,,Pyroar-Mega,Torkoal,Vileplume,Sneasler,Kangaskhan,Farigiraf,,MB112
MB111,Sarapoke0914's Blastoise Whimsicott HTR Team,,Sarapoke0914,,,,Blastoisinite,,,Mystic Water,,,Iron Ball,,,Choice Scarf,,,Focus Sash,,,Life Orb,,https://pokepast.es/d0f7a91d5b4e6fb1,Yes,Extracted,✔,UREJ8TM9E7,20 Jun 2026,-,,https://x.com/Sarapoke0914/status/2068263311972639098?s=20,-,-,Sarapoke0914,,Blastoise-Mega,Basculegion,Pelipper,Staraptor,Whimsicott,Kingambit,,MB111
